ResumeText,JobDescription,Label
mysql kafka spring boot,Hiring full stack Java developer with React and Spring Boot,54
junit cypress qa selenium testng docker pandas gcp,Hiring Software Tester with manual and automation testing skills,82
web api mvc azure entity framework c# sql,".NET Core developer required with strong C#, Entity Framework, and Web API skills",99
scikit-learn django flask terraform aws r,"Data Engineer with Python, Spark, and Hadoop",42
qa junit testng,"SDET required with Java, TestNG, and JUnit",50
kafka java mysql angular deep learning gcp,"Backend Java engineer required with Spring, Kafka, and MySQL skills",47
flask hadoop django swift kafka microservices,"Python Developer with Django, Flask, and REST APIs",52
python pandas django scikit-learn flask tensorflow gcp machine learning agile,"Python Developer with Django, Flask, and REST APIs",93
spring kafka microservices mysql java react kubernetes,"Backend Java engineer required with Spring, Kafka, and MySQL skills",88
asp.net core entity framework azure angular web api asp.net flutter,".NET Core developer required with strong C#, Entity Framework, and Web API skills",86
angular sql web api mvc asp.net core scikit-learn angular,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",81
kotlin react native flutter,Android Developer with Kotlin and Java experience,48
stakeholder management pmp scrum agile business analysis objective-c hadoop,"Product Manager with Agile, Scrum, and stakeholder management",82
helm kubernetes ci/cd azure spark scrum,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",51
terraform aws kubernetes azure ci/cd,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",73
stakeholder management agile business analysis product management,Hiring Business Analyst with strong requirements gathering skills,59
asp.net entity framework mvc asp.net core ml,".NET Core developer required with strong C#, Entity Framework, and Web API skills",63
swift objective-c java ios ml web api spark,"iOS Engineer required with Swift, Objective-C, and UIKit",61
agile pmp stakeholder management product management business analysis scrum pytorch,Project Manager required with PMP and Agile methodologies,85
azure gcp aws terraform helm kubernetes entity framework flutter css,Hiring Solutions Architect for AWS and Kubernetes deployments,98
sql web api asp.net azure asp.net core flask,"Looking for a .NET Developer with experience in ASP.NET MVC, SQL Server, and Azure",83
pandas python scikit-learn objective-c,"Data Engineer with Python, Spark, and Hadoop",43
qa automation junit,"SDET required with Java, TestNG, and JUnit",43
kafka spring spring boot docker testng pmp,"Backend Java engineer required with Spring, Kafka, and MySQL skills",44
agile scrum pmp flask,Project Manager required with PMP and Agile methodologies,49
mvc asp.net angular tensorflow,"Hiring full stack .NET engineer with Angular, ASP.NET Core, and SQL",40
deep learning ml machine learning python nlp vue,"Data Scientist with Python, R, and machine learning expertise",76
flask spark django tensorflow scikit-learn kubernetes,"Python Developer with Django, Flask, and REST APIs",78
vue angular html react typescript tensorflow,Hiring web developer skilled in modern frontend frameworks,79
django tensorflow flask scikit-learn python spark python react,"Python Developer with Django, Flask, and REST APIs",85
swift java flutter objective-c,Hiring cross-platform mobile developer with Flutter and React Native,60
react hibernate kafka spring boot java css,"Backend Java engineer required with Spring, Kafka, and MySQL skills",83
mysql java hibernate microservices spring boot spring angular,Hiring full stack Java developer with React and Spring Boot,94
ci/cd kubernetes helm,"DevOps Cloud Engineer with Terraform, Helm, and CI/CD",44
junit qa selenium manual testing testng python,"SDET required with Java, TestNG, and JUnit",73
deep learning tensorflow ml nlp python scikit-learn pandas,"Data Scientist with Python, R, and machine learning expertise",99
kubernetes ci/cd terraform azure testng,Hiring Solutions Architect for AWS and Kubernetes deployments,67
terraform helm gcp ci/cd tensorflow pmp mysql,"Cloud Engineer with AWS, Azure, and Google Cloud expertise",60
hibernate java spring kafka angular automation,"Java Developer with Spring Boot, Hibernate, and Microservices experience",61
spring spring boot kafka react java microservices,Hiring full stack Java developer with React and Spring Boot,97
aws docker jenkins,"DevOps Engineer with AWS, Kubernetes, and Docker expertise",43
agile business analysis product management pandas,Hiring Business Analyst with strong requirements gathering skills,40
qa junit automation javascript mysql web api,"QA Engineer with Selenium, Cypress, and test automation experience",48
hibernate java react mysql deep learning terraform,"Backend Java engineer required with Spring, Kafka, and MySQL skills",60
manual testing cypress qa junit selenium automation web api,"QA Engineer with Selenium, Cypress, and test automation experience",85
ios react native android flutter swift docker python,"iOS Engineer required with Swift, Objective-C, and UIKit",70
tensorflow flask hadoop python scikit-learn angular,"Python Developer with Django, Flask, and REST APIs",83
